month,bnf_chemical_name,monthly_items
2023-12-01,Atomoxetine,4
2023-12-01,Dexamfetamine,4662
2023-12-01,Lisdexamfetamine,6646
2023-12-01,Methylphenidate,22741
2024-01-01,All chemicals,37761
2024-01-01,Atomoxetine,28
2024-01-01,Dexamfetamine,4406
2024-01-01,Guanfacine,13
2024-01-01,Lisdexamfetamine,7418
2024-01-01,Methylphenidate,25896
2024-02-01,All chemicals,37324
2024-02-01,Atomoxetine,7
2024-02-01,Dexamfetamine,3994
2024-02-01,Guanfacine,6
2024-02-01,Lisdexamfetamine,7809
2024-02-01,Methylphenidate,25508
2024-03-01,All chemicals,39825
2024-03-01,Atomoxetine,3
2024-03-01,Dexamfetamine,4625
2024-03-01,Guanfacine,2
2024-03-01,Lisdexamfetamine,9834
2024-03-01,Methylphenidate,25361
2024-04-01,All chemicals,42826
2024-04-01,Atomoxetine,7
2024-04-01,Dexamfetamine,4856
2024-04-01,Guanfacine,12
2024-04-01,Lisdexamfetamine,12790
2024-04-01,Methylphenidate,25161
2024-05-01,All chemicals,37970
2024-05-01,Atomoxetine,6
2024-05-01,Dexamfetamine,2934
2024-05-01,Guanfacine,6
2024-05-01,Lisdexamfetamine,14268
2024-05-01,Methylphenidate,20756
2024-06-01,All chemicals,50009
2024-06-01,Atomoxetine,7
2024-06-01,Dexamfetamine,4603
2024-06-01,Guanfacine,16
2024-06-01,Lisdexamfetamine,22924
2024-06-01,Methylphenidate,22459
2024-07-01,All chemicals,38545
2024-07-01,Atomoxetine,31
2024-07-01,Dexamfetamine,3935
2024-07-01,Guanfacine,4
2024-07-01,Lisdexamfetamine,17654
2024-07-01,Methylphenidate,16921
2024-08-01,All chemicals,48071
2024-08-01,Atomoxetine,36
2024-08-01,Dexamfetamine,4980
2024-08-01,Guanfacine,35
2024-08-01,Lisdexamfetamine,23320
2024-08-01,Methylphenidate,19700
2024-09-01,All chemicals,41971
2024-09-01,Atomoxetine,19
2024-09-01,Dexamfetamine,3947
2024-09-01,Guanfacine,9
2024-09-01,Lisdexamfetamine,21028
2024-09-01,Methylphenidate,16968
2024-10-01,All chemicals,43501
2024-10-01,Atomoxetine,13
2024-10-01,Dexamfetamine,4628
2024-10-01,Guanfacine,2
2024-10-01,Lisdexamfetamine,20562
2024-10-01,Methylphenidate,18296
2024-11-01,All chemicals,47981
2024-11-01,Atomoxetine,29
2024-11-01,Dexamfetamine,4510
2024-11-01,Guanfacine,21
2024-11-01,Lisdexamfetamine,23024
2024-11-01,Methylphenidate,20397
2024-12-01,All chemicals,53052
2024-12-01,Atomoxetine,14
2024-12-01,Dexamfetamine,5340
2024-12-01,Guanfacine,18
2024-12-01,Lisdexamfetamine,25575
2024-12-01,Methylphenidate,22105
2025-01-01,All chemicals,45163
2025-01-01,Atomoxetine,13
2025-01-01,Dexamfetamine,4328
2025-01-01,Guanfacine,2
2025-01-01,Lisdexamfetamine,21529
2025-01-01,Methylphenidate,19291
2025-02-01,All chemicals,64664
2025-02-01,Atomoxetine,10
2025-02-01,Dexamfetamine,5966
2025-02-01,Guanfacine,4
2025-02-01,Lisdexamfetamine,30452
2025-02-01,Methylphenidate,28232
2025-03-01,All chemicals,54190
2025-03-01,Atomoxetine,17
2025-03-01,Dexamfetamine,4930
2025-03-01,Guanfacine,2
2025-03-01,Lisdexamfetamine,26321
2025-03-01,Methylphenidate,22920
2025-04-01,All chemicals,58414
2025-04-01,Atomoxetine,28
2025-04-01,Dexamfetamine,5248
2025-04-01,Guanfacine,12
2025-04-01,Lisdexamfetamine,27997
2025-04-01,Methylphenidate,25129
2025-05-01,All chemicals,63135
2025-05-01,Atomoxetine,12
2025-05-01,Dexamfetamine,6061
2025-05-01,Guanfacine,8
2025-05-01,Lisdexamfetamine,30858
2025-05-01,Methylphenidate,26196
2025-06-01,All chemicals,74721
2025-06-01,Atomoxetine,32
2025-06-01,Dexamfetamine,7243
2025-06-01,Guanfacine,10
2025-06-01,Lisdexamfetamine,38065
2025-06-01,Methylphenidate,29371
2025-07-01,All chemicals,64738
2025-07-01,Atomoxetine,8
2025-07-01,Dexamfetamine,6485
2025-07-01,Guanfacine,4
2025-07-01,Lisdexamfetamine,31972
2025-07-01,Methylphenidate,26269
