estimate_year,source_workbook,icb_name,population
2016,ons_pop_estimates_2011-2022.xlsx,NHS Humber and North Yorkshire Integrated Care Board,1683228
2016,ons_pop_estimates_2011-2022.xlsx,NHS Kent and Medway Integrated Care Board,1808526
2016,ons_pop_estimates_2011-2022.xlsx,NHS Lancashire and South Cumbria Integrated Care Board,1675676
2016,ons_pop_estimates_2011-2022.xlsx,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",1073921
2016,ons_pop_estimates_2011-2022.xlsx,NHS Lincolnshire Integrated Care Board,746141
2016,ons_pop_estimates_2011-2022.xlsx,NHS Mid and South Essex Integrated Care Board,1175518
2016,ons_pop_estimates_2011-2022.xlsx,NHS Norfolk and Waveney Integrated Care Board,1006735
2016,ons_pop_estimates_2011-2022.xlsx,NHS North Central London Integrated Care Board,1434126
2016,ons_pop_estimates_2011-2022.xlsx,NHS North East London Integrated Care Board,1943961
2016,ons_pop_estimates_2011-2022.xlsx,NHS North East and North Cumbria Integrated Care Board,2936401
2016,ons_pop_estimates_2011-2022.xlsx,NHS North West London Integrated Care Board,2088429
2016,ons_pop_estimates_2011-2022.xlsx,NHS Northamptonshire Integrated Care Board,746666
2016,ons_pop_estimates_2011-2022.xlsx,NHS Nottingham and Nottinghamshire Integrated Care Board,1125047
2016,ons_pop_estimates_2011-2022.xlsx,"NHS Shropshire, Telford and Wrekin Integrated Care Board",488188
2016,ons_pop_estimates_2011-2022.xlsx,NHS Somerset Integrated Care Board,554806
2016,ons_pop_estimates_2011-2022.xlsx,NHS South East London Integrated Care Board,1782617
2016,ons_pop_estimates_2011-2022.xlsx,NHS South West London Integrated Care Board,1494518
2016,ons_pop_estimates_2011-2022.xlsx,NHS South Yorkshire Integrated Care Board,1366070
2016,ons_pop_estimates_2011-2022.xlsx,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1117398
2016,ons_pop_estimates_2011-2022.xlsx,NHS Suffolk and North East Essex Integrated Care Board,960582
2016,ons_pop_estimates_2011-2022.xlsx,NHS Surrey Heartlands Integrated Care Board,1029457
2016,ons_pop_estimates_2011-2022.xlsx,NHS Sussex Integrated Care Board,1675053
2016,ons_pop_estimates_2011-2022.xlsx,NHS West Yorkshire Integrated Care Board,2352685
2017,ons_pop_estimates_2011-2022.xlsx,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",917464
2017,ons_pop_estimates_2011-2022.xlsx,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",956975
2017,ons_pop_estimates_2011-2022.xlsx,NHS Birmingham and Solihull Integrated Care Board,1354223
2017,ons_pop_estimates_2011-2022.xlsx,NHS Black Country Integrated Care Board,1195242
2017,ons_pop_estimates_2011-2022.xlsx,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",955193
2017,ons_pop_estimates_2011-2022.xlsx,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",1722234
2017,ons_pop_estimates_2011-2022.xlsx,NHS Cambridgeshire and Peterborough Integrated Care Board,889555
2017,ons_pop_estimates_2011-2022.xlsx,NHS Cheshire and Merseyside Integrated Care Board,2475936
2017,ons_pop_estimates_2011-2022.xlsx,NHS Cornwall and the Isles of Scilly Integrated Care Board,559091
2017,ons_pop_estimates_2011-2022.xlsx,NHS Coventry and Warwickshire Integrated Care Board,912337
2017,ons_pop_estimates_2011-2022.xlsx,NHS Derby and Derbyshire Integrated Care Board,1043986
2017,ons_pop_estimates_2011-2022.xlsx,NHS Devon Integrated Care Board,1185975
2017,ons_pop_estimates_2011-2022.xlsx,NHS Dorset Integrated Care Board,774049
2017,ons_pop_estimates_2011-2022.xlsx,NHS Frimley Integrated Care Board,751900
2017,ons_pop_estimates_2011-2022.xlsx,NHS Gloucestershire Integrated Care Board,629712
2017,ons_pop_estimates_2011-2022.xlsx,NHS Greater Manchester Integrated Care Board,2804283
2017,ons_pop_estimates_2011-2022.xlsx,NHS Hampshire and Isle of Wight Integrated Care Board,1804547
2017,ons_pop_estimates_2011-2022.xlsx,NHS Herefordshire and Worcestershire Integrated Care Board,778727
2017,ons_pop_estimates_2011-2022.xlsx,NHS Hertfordshire and West Essex Integrated Care Board,1473872
2017,ons_pop_estimates_2011-2022.xlsx,NHS Humber and North Yorkshire Integrated Care Board,1688026
2017,ons_pop_estimates_2011-2022.xlsx,NHS Kent and Medway Integrated Care Board,1821359
2017,ons_pop_estimates_2011-2022.xlsx,NHS Lancashire and South Cumbria Integrated Care Board,1683660
